count,whiteWins,blackWins,draw,opening_name,opening_variation
71913,32501,36222,3190,Ware Opening,~
71426,36623,31862,2941,English Opening," Symmetrical Variation, Normal Variation"
69604,47283,20476,1845,Italian Game," Two Knights Defense, Fried Liver Attack"
69467,35018,31819,2630,Sicilian Defense," Taimanov Variation, Normal Variation"
69264,37020,29118,3126,Four Knights Game, Scotch Variation
68512,35266,30270,2976,Queen's Gambit Declined, Exchange Variation
68428,32318,33838,2272,Blackmar Gambit,~
68316,34857,31169,2290,Englund Gambit Declined, Reversed Alekhine
67943,35247,30294,2402,Center Game, Paulsen Attack Variation
66081,34977,28951,2153,Russian Game, Modern Attack
65884,31441,32292,2151,Bird Opening, From's Gambit
65501,30796,32607,2098,Italian Game," Two Knights Defense, Polerio Defense, Bishop Check Line"
64991,33240,29398,2353,Nimzowitsch Defense, Franco-Nimzowitsch Variation
64904,31073,30790,3041,King's Indian Defense," Normal Variation, King's Knight Variation"
64695,31856,30323,2516,French Defense," Classical Variation, Steinitz Variation"
64101,35037,26609,2455,Ware Defense,~
63665,30673,30958,2034,Scandinavian Defense, Blackburne-Kloosterboer Gambit
63364,30782,30192,2390,Van Geet Opening, Reversed Nimzowitsch
63341,33043,27675,2623,Queen's Gambit Declined, Austrian Defense
63282,27858,33026,2398,Sicilian Defense," Kan Variation, Knight Variation"
63223,31145,29833,2245,Alekhine Defense, Normal Variation
62798,35049,25413,2336,Queen's Gambit Accepted, Saduleto Variation
62415,32149,27560,2706,Queen's Gambit Declined, Harrwitz Attack
62100,31615,28266,2219,Modern Defense, Mongredien Defense
61439,31537,27217,2685,Semi-Slav Defense, Main Line
61304,28026,30857,2421,Scandinavian Defense," Main Line, Mieses Variation"
61116,28976,29514,2626,Sicilian Defense, Hyperaccelerated Fianchetto
60771,31670,27088,2013,Italian Game," Classical Variation, Albin Gambit"
60515,26825,30811,2879,Clemenz Opening,~
60474,32562,26172,1740,Sicilian Defense, Franco-Sicilian Variation
59403,29801,26970,2632,Caro-Kann Defense, Main Line
58871,30240,26566,2065,Bishop's Opening, Philidor Counterattack
58501,28679,27432,2390,Nimzowitsch Defense," Scandinavian Variation, Exchange Variation"
